Reservation_ID,Payment,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan
RES-00039,Card,₹ 800 /day,,40.0,840.0,premium
RES-00040,cash,₹1500/day,BOGUS99,75.0,1575.0,standard
RES-00041,wallet,800/day,,40.0,840.0,premium
RES-00042,wallet,"₹ 2,000 /day",BOGUS99,100.0,2100.0,standard
RES-00043,upi,"₹ 3,000 /day",DISC15,150.0,3150.0,premium
RES-00044,card,1500/day,SAVE10,75.0,1575.0,premium
RES-00045,UPI,2500/day,DISC15,125.0,2625.0,standard
RES-00046,cash,1200,DISC15,60.0,1260.0,premium
RES-00047,Card,1000/day,SAVE10,50.0,1050.0,standard
RES-00048,Card,3000/day,BOGUS99,150.0,3150.0,eco
RES-00049,wallet,1200/day,BOGUS99,60.0,1260.0,premium
RES-00050,cash,₹2500/day,DISC15,125.0,2625.0,premium
RES-00051,card,₹ 800 /day,,40.0,840.0,eco
RES-00052,Card,"₹ 2,500 /day",BOGUS99,125.0,2625.0,standard
RES-00053,upi,₹1500/day,SAVE10,,1575.0,eco
RES-00054,UPI,1200/day,BOGUS99,60.0,1260.0,standard
RES-00055,Card,"₹ 2,000 /day",SAVE10,100.0,2100.0,eco
RES-00056,UPI,₹1200/day,DISC15,60.0,1260.0,premium
RES-00057,cash,2500,DISC15,125.0,2625.0,eco
RES-00058,wallet,3000,SAVE10,150.0,3150.0,premium
RES-00059,upi,1000/day,DISC15,50.0,1050.0,standard
RES-00060,UPI,1500,BOGUS99,75.0,1575.0,eco
RES-00061,UPI,2500,SAVE10,125.0,2625.0,premium
RES-00062,wallet,₹ 800 /day,BOGUS99,40.0,840.0,standard
RES-00063,upi,2000/day,SAVE10,100.0,2100.0,premium
RES-00064,wallet,"₹ 1,500 /day",BOGUS99,75.0,1575.0,eco
RES-00065,UPI,"₹ 2,500 /day",BOGUS99,125.0,2625.0,premium
RES-00066,cash,3000/day,BOGUS99,150.0,3150.0,eco
RES-00067,card,"₹ 2,500 /day",BOGUS99,125.0,2625.0,premium
RES-00068,UPI,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium
RES-00069,cash,₹2000/day,,100.0,2100.0,premium
RES-00070,card,3000/day,,,3150.0,premium
RES-00071,wallet,"₹ 1,500 /day",BOGUS99,75.0,1575.0,premium
RES-00072,UPI,2500,BOGUS99,125.0,2625.0,standard
RES-00073,Card,₹2000/day,DISC15,100.0,2100.0,standard
RES-00074,Card,2000/day,SAVE10,100.0,2100.0,standard
RES-00075,UPI,1500,BOGUS99,,1575.0,standard
RES-00076,cash,"₹ 1,500 /day",SAVE10,75.0,1575.0,standard
RES-00077,UPI,₹1200/day,,60.0,1260.0,eco
RES-00078,Card,"₹ 1,000 /day",BOGUS99,50.0,1050.0,eco
RES-00079,Card,1500/day,SAVE10,75.0,1575.0,premium
RES-00080,UPI,₹800/day,,40.0,840.0,standard
RES-00081,card,1200/day,,60.0,1260.0,premium
RES-00082,Card,"₹ 3,000 /day",DISC15,150.0,3150.0,premium
RES-00083,wallet,3000,,150.0,3150.0,premium
RES-00084,Card,1200,BOGUS99,60.0,1260.0,standard
RES-00085,Card,"₹ 1,200 /day",,60.0,1260.0,premium
RES-00086,Card,₹800/day,DISC15,,840.0,premium
RES-00087,Card,₹ 800 /day,,40.0,840.0,standard
RES-00088,UPI,1500/day,BOGUS99,75.0,1575.0,eco
RES-00089,wallet,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium
RES-00090,upi,1500/day,SAVE10,75.0,1575.0,premium
RES-00091,Card,1500,DISC15,,1575.0,premium
RES-00092,Card,₹1200/day,SAVE10,,1260.0,premium
RES-00093,UPI,"₹ 1,200 /day",SAVE10,60.0,1260.0,standard
RES-00094,upi,1000/day,DISC15,50.0,1050.0,standard
RES-00095,card,800,,40.0,840.0,standard
RES-00096,wallet,₹2000/day,DISC15,100.0,2100.0,premium
RES-00097,wallet,2500,SAVE10,125.0,2625.0,eco
RES-00098,Card,1000/day,DISC15,50.0,1050.0,eco
RES-00099,wallet,3000/day,,150.0,3150.0,eco
RES-00100,card,800/day,DISC15,,840.0,standard
RES-00101,cash,1000,DISC15,50.0,1050.0,premium
RES-00102,Card,₹ 800 /day,DISC15,40.0,840.0,eco
RES-00103,Card,₹1000/day,SAVE10,50.0,1050.0,eco
RES-00104,wallet,1000,DISC15,,1050.0,premium
RES-00105,card,1000/day,DISC15,50.0,1050.0,standard
RES-00106,upi,1500/day,SAVE10,75.0,1575.0,eco
RES-00107,UPI,2000,DISC15,100.0,2100.0,standard
RES-00108,UPI,3000,DISC15,150.0,3150.0,premium
RES-00109,card,₹1000/day,BOGUS99,50.0,1050.0,standard
RES-00110,cash,1500/day,DISC15,75.0,1575.0,eco
RES-00111,cash,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium
RES-00112,UPI,₹1200/day,,60.0,1260.0,eco
RES-00113,UPI,800,,40.0,840.0,eco
RES-00114,Card,2000/day,DISC15,100.0,2100.0,eco
RES-00115,Card,"₹ 1,500 /day",,75.0,1575.0,eco
RES-00116,Card,₹1000/day,DISC15,,1050.0,eco
RES-00117,upi,1500,BOGUS99,75.0,1575.0,standard
RES-00118,wallet,₹3000/day,,150.0,3150.0,eco
RES-00119,cash,2000/day,BOGUS99,100.0,2100.0,premium
RES-00120,card,"₹ 2,000 /day",DISC15,100.0,2100.0,eco
RES-00121,card,2500/day,SAVE10,,2625.0,standard
RES-00122,UPI,1000/day,BOGUS99,,1050.0,standard
RES-00123,Card,"₹ 1,200 /day",SAVE10,60.0,1260.0,standard
RES-00124,upi,800,BOGUS99,40.0,840.0,premium
RES-00125,UPI,₹2000/day,SAVE10,,2100.0,eco
RES-00126,UPI,800/day,BOGUS99,40.0,840.0,eco
RES-00127,Card,2000/day,SAVE10,100.0,2100.0,standard
RES-00128,Card,2000/day,SAVE10,100.0,2100.0,premium
RES-00129,UPI,"₹ 1,000 /day",SAVE10,50.0,1050.0,eco
RES-00130,UPI,2000/day,DISC15,100.0,2100.0,standard
RES-00131,wallet,1000,SAVE10,,1050.0,eco
RES-00132,card,₹1200/day,,60.0,1260.0,standard
RES-00133,cash,₹2500/day,BOGUS99,125.0,2625.0,eco
RES-00134,UPI,1500/day,SAVE10,75.0,1575.0,eco
RES-00135,upi,1200/day,DISC15,60.0,1260.0,eco
RES-00136,UPI,1500/day,SAVE10,75.0,1575.0,eco
RES-00137,UPI,₹1500/day,,75.0,1575.0,premium
RES-00138,Card,₹2000/day,BOGUS99,100.0,2100.0,eco
RES-00139,wallet,1200,BOGUS99,,1260.0,premium
RES-00140,card,800/day,SAVE10,40.0,840.0,eco
RES-00141,Card,800,DISC15,40.0,840.0,eco
RES-00142,upi,"₹ 2,000 /day",,100.0,2100.0,standard
RES-00143,UPI,₹1000/day,DISC15,50.0,1050.0,standard
RES-00144,upi,1500,BOGUS99,75.0,1575.0,standard
RES-00145,wallet,₹2500/day,DISC15,125.0,2625.0,standard
RES-00146,cash,"₹ 1,200 /day",BOGUS99,60.0,1260.0,eco
RES-00147,wallet,₹1500/day,,75.0,1575.0,premium
RES-00148,UPI,2500,DISC15,125.0,2625.0,eco
RES-00149,UPI,1500,SAVE10,75.0,1575.0,eco
RES-00150,card,"₹ 1,200 /day",,60.0,1260.0,eco
RES-00151,Card,3000,BOGUS99,150.0,3150.0,eco
RES-00152,Card,"₹ 1,500 /day",BOGUS99,,1575.0,eco
RES-00153,Card,1000/day,BOGUS99,,1050.0,premium
RES-00154,card,800/day,BOGUS99,40.0,840.0,eco
RES-00155,wallet,1500,SAVE10,75.0,1575.0,premium
RES-00156,cash,₹1000/day,,50.0,1050.0,premium
RES-00157,UPI,800/day,,40.0,840.0,eco
RES-00158,card,1500/day,SAVE10,75.0,1575.0,standard
RES-00159,UPI,₹1000/day,SAVE10,50.0,1050.0,standard
RES-00160,upi,₹2000/day,,100.0,2100.0,standard
RES-00161,cash,₹1500/day,BOGUS99,75.0,1575.0,premium
RES-00162,cash,₹3000/day,BOGUS99,,3150.0,eco
RES-00163,wallet,₹800/day,SAVE10,40.0,840.0,standard
RES-00164,card,2000,,100.0,2100.0,eco
RES-00165,cash,₹2500/day,DISC15,125.0,2625.0,premium
RES-00166,cash,₹3000/day,BOGUS99,150.0,3150.0,standard
RES-00167,wallet,₹3000/day,,,3150.0,premium
RES-00168,cash,₹800/day,DISC15,40.0,840.0,eco
RES-00169,wallet,800/day,SAVE10,,840.0,premium
RES-00170,wallet,₹ 800 /day,BOGUS99,,840.0,eco
RES-00171,wallet,₹2500/day,BOGUS99,125.0,2625.0,premium
RES-00172,wallet,1200,SAVE10,60.0,1260.0,standard
RES-00173,upi,1200,DISC15,60.0,1260.0,premium
RES-00174,card,₹3000/day,SAVE10,150.0,3150.0,premium
RES-00175,cash,1200/day,DISC15,60.0,1260.0,standard
RES-00176,upi,₹1000/day,BOGUS99,,1050.0,eco
RES-00177,wallet,1000/day,BOGUS99,50.0,1050.0,eco
RES-00178,card,₹2500/day,,125.0,2625.0,eco
RES-00179,Card,2500,,125.0,2625.0,premium
RES-00180,UPI,3000/day,DISC15,150.0,3150.0,standard
RES-00181,upi,₹2000/day,DISC15,100.0,2100.0,standard
RES-00182,UPI,"₹ 1,200 /day",BOGUS99,60.0,1260.0,eco
RES-00183,UPI,2000,BOGUS99,100.0,2100.0,standard
RES-00184,card,"₹ 2,000 /day",,100.0,2100.0,premium
RES-00185,upi,2500/day,BOGUS99,125.0,2625.0,eco
RES-00186,upi,₹1200/day,SAVE10,60.0,1260.0,eco
RES-00187,cash,2000,,100.0,2100.0,premium
RES-00188,upi,₹2500/day,BOGUS99,125.0,2625.0,premium
RES-00189,UPI,1500,DISC15,75.0,1575.0,eco
RES-00190,upi,"₹ 3,000 /day",DISC15,150.0,3150.0,eco
RES-00191,Card,₹3000/day,,150.0,3150.0,eco
RES-00192,UPI,1500/day,SAVE10,,1575.0,standard
RES-00193,wallet,₹1500/day,,75.0,1575.0,eco
RES-00194,wallet,3000/day,,,3150.0,eco
RES-00195,cash,₹1500/day,,75.0,1575.0,eco
RES-00196,upi,1200/day,,60.0,1260.0,standard
RES-00197,card,₹1000/day,DISC15,50.0,1050.0,eco
RES-00198,UPI,₹ 800 /day,DISC15,40.0,840.0,standard
RES-00199,wallet,1200,,60.0,1260.0,eco
RES-00200,cash,1200/day,DISC15,60.0,1260.0,eco
RES-00201,card,"₹ 2,000 /day",,100.0,2100.0,eco
RES-00202,cash,1200/day,SAVE10,60.0,1260.0,premium
RES-00203,card,₹2500/day,SAVE10,125.0,2625.0,standard
RES-00204,Card,1200,DISC15,60.0,1260.0,premium
RES-00205,UPI,₹1000/day,SAVE10,50.0,1050.0,eco
RES-00206,UPI,1500,BOGUS99,75.0,1575.0,eco
RES-00207,wallet,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium
RES-00208,card,₹2000/day,,100.0,2100.0,eco
RES-00209,wallet,"₹ 1,000 /day",BOGUS99,50.0,1050.0,eco
RES-00210,UPI,2000,BOGUS99,100.0,2100.0,standard
RES-00211,UPI,800/day,DISC15,40.0,840.0,premium
RES-00212,Card,"₹ 1,500 /day",SAVE10,75.0,1575.0,premium
RES-00213,card,2000/day,,,2100.0,eco
RES-00214,upi,"₹ 1,200 /day",BOGUS99,60.0,1260.0,standard
RES-00215,Card,"₹ 3,000 /day",BOGUS99,150.0,3150.0,premium
RES-00216,upi,"₹ 2,000 /day",BOGUS99,100.0,2100.0,standard
RES-00217,cash,"₹ 1,000 /day",SAVE10,50.0,1050.0,eco
RES-00218,cash,"₹ 3,000 /day",BOGUS99,150.0,3150.0,standard
RES-00219,upi,2000/day,SAVE10,100.0,2100.0,eco
RES-00220,card,"₹ 3,000 /day",DISC15,150.0,3150.0,premium
RES-00221,upi,₹3000/day,,,3150.0,eco
RES-00222,card,₹ 800 /day,DISC15,,840.0,standard
RES-00223,upi,"₹ 1,000 /day",,50.0,1050.0,eco
RES-00224,cash,800,BOGUS99,40.0,840.0,premium
RES-00225,UPI,"₹ 2,000 /day",SAVE10,100.0,2100.0,eco
RES-00226,card,3000/day,BOGUS99,,3150.0,standard
RES-00227,wallet,1500,SAVE10,75.0,1575.0,eco
RES-00228,cash,1000,SAVE10,50.0,1050.0,standard
RES-00229,Card,₹1000/day,,50.0,1050.0,eco
RES-00230,upi,"₹ 1,000 /day",DISC15,50.0,1050.0,eco
RES-00231,card,₹2500/day,DISC15,125.0,2625.0,premium
RES-00232,Card,1000,,50.0,1050.0,premium
RES-00233,UPI,"₹ 2,500 /day",DISC15,125.0,2625.0,eco
RES-00234,card,₹3000/day,,150.0,3150.0,eco
RES-00235,card,₹1500/day,SAVE10,75.0,1575.0,premium
RES-00236,card,2500/day,BOGUS99,125.0,2625.0,premium
RES-00237,Card,1200,SAVE10,60.0,1260.0,standard
RES-00238,Card,"₹ 2,000 /day",BOGUS99,100.0,2100.0,premium
RES-00239,wallet,2000/day,DISC15,100.0,2100.0,premium
RES-00240,upi,"₹ 1,000 /day",SAVE10,50.0,1050.0,eco
RES-00241,cash,"₹ 1,500 /day",,,1575.0,standard
RES-00242,Card,2500,SAVE10,125.0,2625.0,eco
RES-00243,wallet,₹1000/day,,50.0,1050.0,premium
RES-00244,card,1000,,50.0,1050.0,standard
RES-00245,cash,800,SAVE10,40.0,840.0,premium
RES-00246,card,"₹ 1,200 /day",BOGUS99,60.0,1260.0,eco
RES-00247,wallet,₹800/day,,40.0,840.0,premium
RES-00248,cash,"₹ 1,000 /day",,50.0,1050.0,eco
RES-00249,card,₹3000/day,BOGUS99,150.0,3150.0,eco
RES-00250,upi,1000/day,DISC15,50.0,1050.0,eco
RES-00251,card,1500,SAVE10,75.0,1575.0,standard
RES-00252,cash,1200,BOGUS99,60.0,1260.0,standard
RES-00253,Card,"₹ 1,200 /day",SAVE10,60.0,1260.0,premium
RES-00254,cash,1500/day,DISC15,75.0,1575.0,standard
RES-00255,wallet,₹800/day,,40.0,840.0,premium
RES-00256,upi,800/day,SAVE10,40.0,840.0,standard
RES-00257,Card,₹3000/day,SAVE10,150.0,3150.0,premium
RES-00258,Card,"₹ 1,000 /day",DISC15,50.0,1050.0,eco
RES-00259,wallet,800,BOGUS99,40.0,840.0,standard
RES-00260,Card,1500,SAVE10,,1575.0,standard
RES-00261,card,2500,DISC15,125.0,2625.0,premium
RES-00262,card,2500,SAVE10,,2625.0,eco
RES-00263,card,"₹ 1,000 /day",SAVE10,50.0,1050.0,eco
RES-00264,cash,800/day,BOGUS99,40.0,840.0,eco
RES-00265,upi,"₹ 1,500 /day",,,1575.0,premium
RES-00266,upi,1000,BOGUS99,50.0,1050.0,premium
RES-00267,upi,1500,BOGUS99,,1575.0,standard
RES-00268,upi,3000/day,BOGUS99,150.0,3150.0,eco
RES-00269,card,₹1500/day,,75.0,1575.0,premium
RES-00270,cash,"₹ 2,500 /day",DISC15,125.0,2625.0,eco
RES-00271,cash,2000,,,2100.0,standard
RES-00272,wallet,1000/day,DISC15,50.0,1050.0,eco
RES-00273,card,800/day,,40.0,840.0,eco
RES-00274,UPI,"₹ 2,500 /day",BOGUS99,125.0,2625.0,standard
RES-00275,wallet,₹1000/day,,50.0,1050.0,premium
RES-00276,Card,1200/day,BOGUS99,,1260.0,premium
RES-00277,card,2000/day,DISC15,,2100.0,standard
RES-00278,wallet,"₹ 1,000 /day",SAVE10,,1050.0,premium
RES-00279,Card,1500/day,BOGUS99,75.0,1575.0,premium
RES-00280,cash,2500/day,SAVE10,,2625.0,standard
RES-00281,UPI,2000,BOGUS99,100.0,2100.0,eco
RES-00282,card,₹1200/day,SAVE10,60.0,1260.0,eco
RES-00283,Card,1000/day,SAVE10,50.0,1050.0,eco
RES-00284,card,₹1000/day,DISC15,,1050.0,premium
RES-00285,card,"₹ 2,000 /day",,100.0,2100.0,standard
RES-00286,Card,₹ 800 /day,SAVE10,40.0,840.0,standard
RES-00287,Card,₹3000/day,SAVE10,150.0,3150.0,eco
RES-00288,cash,"₹ 3,000 /day",DISC15,150.0,3150.0,eco
RES-00289,cash,₹1500/day,DISC15,75.0,1575.0,eco
RES-00290,upi,3000/day,BOGUS99,150.0,3150.0,standard
RES-00291,upi,₹ 800 /day,,40.0,840.0,eco
RES-00292,cash,₹1200/day,DISC15,,1260.0,standard
RES-00293,Card,1000,DISC15,50.0,1050.0,premium
RES-00294,Card,"₹ 1,000 /day",BOGUS99,,1050.0,standard
RES-00295,card,₹1200/day,DISC15,60.0,1260.0,premium
RES-00296,wallet,3000/day,DISC15,150.0,3150.0,premium
RES-00297,upi,1200/day,DISC15,60.0,1260.0,eco
RES-00298,upi,"₹ 2,500 /day",DISC15,125.0,2625.0,eco
RES-00299,card,₹2000/day,,,2100.0,premium
RES-00300,Card,1000,BOGUS99,50.0,1050.0,standard
RES-00301,UPI,1500,BOGUS99,75.0,1575.0,standard
RES-00302,UPI,₹1500/day,BOGUS99,75.0,1575.0,eco
RES-00303,Card,1500,BOGUS99,75.0,1575.0,standard
RES-00304,Card,₹1500/day,BOGUS99,75.0,1575.0,standard
RES-00305,upi,₹1200/day,DISC15,60.0,1260.0,standard
RES-00306,UPI,2500,DISC15,125.0,2625.0,standard
RES-00307,UPI,2500/day,SAVE10,,2625.0,eco
RES-00308,wallet,1500,BOGUS99,,1575.0,eco
RES-00309,Card,1200,SAVE10,60.0,1260.0,premium
RES-00310,Card,1200,BOGUS99,60.0,1260.0,eco
RES-00311,UPI,₹3000/day,,,3150.0,eco
RES-00312,upi,2000,SAVE10,100.0,2100.0,premium
RES-00313,wallet,2500,SAVE10,125.0,2625.0,standard
RES-00314,card,2500,SAVE10,125.0,2625.0,eco
RES-00315,wallet,2500/day,BOGUS99,125.0,2625.0,eco
RES-00316,Card,800,,40.0,840.0,standard
RES-00317,wallet,₹3000/day,BOGUS99,150.0,3150.0,standard
RES-00318,UPI,2500,SAVE10,125.0,2625.0,premium
RES-00319,Card,"₹ 1,000 /day",SAVE10,50.0,1050.0,standard
RES-00320,Card,"₹ 2,000 /day",BOGUS99,100.0,2100.0,standard
RES-00321,upi,800/day,BOGUS99,40.0,840.0,premium
RES-00322,card,1200/day,BOGUS99,60.0,1260.0,eco
RES-00323,card,₹800/day,DISC15,40.0,840.0,standard
RES-00324,Card,"₹ 2,500 /day",,125.0,2625.0,eco
RES-00325,upi,800,SAVE10,40.0,840.0,premium
RES-00326,wallet,3000,,150.0,3150.0,standard
RES-00327,UPI,1000/day,SAVE10,,1050.0,eco
RES-00328,cash,1200,BOGUS99,60.0,1260.0,eco
RES-00329,card,₹2500/day,,125.0,2625.0,standard
RES-00330,card,1500/day,,75.0,1575.0,standard
RES-00331,wallet,1500,BOGUS99,75.0,1575.0,premium
RES-00332,wallet,₹2500/day,SAVE10,125.0,2625.0,eco
RES-00333,card,₹2500/day,DISC15,,2625.0,standard
RES-00334,UPI,1000,,,1050.0,eco
RES-00335,UPI,1500,,75.0,1575.0,eco
RES-00336,wallet,₹1200/day,DISC15,60.0,1260.0,eco
RES-00337,cash,3000,BOGUS99,,3150.0,premium
RES-00338,card,800,SAVE10,40.0,840.0,eco
RES-00339,Card,1500/day,DISC15,75.0,1575.0,premium
RES-00340,wallet,₹1500/day,BOGUS99,75.0,1575.0,premium
RES-00341,upi,₹1200/day,DISC15,60.0,1260.0,standard
RES-00342,Card,₹2500/day,DISC15,125.0,2625.0,eco
RES-00343,UPI,₹1500/day,SAVE10,75.0,1575.0,premium
RES-00344,upi,₹ 800 /day,BOGUS99,40.0,840.0,eco
RES-00345,wallet,1200,DISC15,,1260.0,eco
RES-00346,cash,1500,,75.0,1575.0,standard
RES-00347,UPI,₹2000/day,,100.0,2100.0,premium
RES-00348,UPI,"₹ 1,000 /day",SAVE10,,1050.0,standard
RES-00349,Card,"₹ 3,000 /day",SAVE10,150.0,3150.0,standard
RES-00350,cash,1200,,60.0,1260.0,standard
RES-00351,cash,₹1000/day,,50.0,1050.0,premium
RES-00352,wallet,1000/day,BOGUS99,50.0,1050.0,eco
RES-00353,cash,800/day,DISC15,,840.0,eco
RES-00354,upi,₹ 800 /day,DISC15,,840.0,eco
RES-00355,card,₹3000/day,DISC15,150.0,3150.0,standard
RES-00356,wallet,₹1000/day,DISC15,50.0,1050.0,eco
RES-00357,cash,"₹ 3,000 /day",DISC15,150.0,3150.0,standard
RES-00358,UPI,1200/day,,,1260.0,eco
RES-00359,cash,"₹ 2,500 /day",DISC15,125.0,2625.0,standard
RES-00360,wallet,₹3000/day,DISC15,150.0,3150.0,standard
RES-00361,upi,1000,BOGUS99,50.0,1050.0,premium
RES-00362,Card,₹1500/day,DISC15,75.0,1575.0,premium
RES-00363,UPI,1000,SAVE10,50.0,1050.0,premium
RES-00364,card,2000/day,BOGUS99,100.0,2100.0,premium
RES-00365,cash,2000/day,BOGUS99,100.0,2100.0,eco
RES-00366,UPI,800,DISC15,40.0,840.0,eco
RES-00367,Card,₹1500/day,SAVE10,75.0,1575.0,eco
RES-00368,Card,800/day,BOGUS99,40.0,840.0,eco
RES-00369,UPI,₹2500/day,BOGUS99,,2625.0,standard
RES-00370,cash,₹800/day,DISC15,40.0,840.0,eco
RES-00371,wallet,₹ 800 /day,,40.0,840.0,standard
RES-00372,wallet,1000,SAVE10,,1050.0,eco
RES-00373,card,₹800/day,DISC15,40.0,840.0,standard
RES-00374,UPI,₹ 800 /day,,40.0,840.0,standard
RES-00375,cash,2500,DISC15,125.0,2625.0,standard
RES-00376,Card,₹ 800 /day,,40.0,840.0,eco
RES-00377,upi,₹2500/day,BOGUS99,125.0,2625.0,eco
RES-00378,cash,1200/day,SAVE10,60.0,1260.0,premium
RES-00379,card,₹3000/day,SAVE10,,3150.0,eco
RES-00380,Card,2000/day,SAVE10,100.0,2100.0,eco
RES-00381,card,1500/day,BOGUS99,75.0,1575.0,eco
RES-00382,UPI,1200,,60.0,1260.0,eco
RES-00383,Card,₹3000/day,BOGUS99,150.0,3150.0,premium
RES-00384,UPI,1000,SAVE10,50.0,1050.0,premium
RES-00385,card,"₹ 1,200 /day",,60.0,1260.0,standard
RES-00386,Card,2000/day,DISC15,100.0,2100.0,premium
RES-00387,Card,₹1000/day,BOGUS99,50.0,1050.0,premium
RES-00388,cash,800,DISC15,40.0,840.0,eco
RES-00389,Card,"₹ 2,000 /day",SAVE10,100.0,2100.0,eco
RES-00390,card,1000/day,DISC15,50.0,1050.0,standard
RES-00391,UPI,₹1500/day,SAVE10,,1575.0,premium
RES-00392,card,₹ 800 /day,BOGUS99,40.0,840.0,eco
RES-00393,card,2500/day,DISC15,125.0,2625.0,eco
RES-00394,wallet,1200/day,SAVE10,60.0,1260.0,standard
RES-00395,wallet,3000,BOGUS99,150.0,3150.0,premium
RES-00396,UPI,₹800/day,SAVE10,40.0,840.0,premium
RES-00397,cash,"₹ 3,000 /day",DISC15,150.0,3150.0,standard
RES-00398,upi,2000,DISC15,100.0,2100.0,premium
RES-00399,cash,3000/day,DISC15,150.0,3150.0,standard
RES-00400,upi,₹2000/day,BOGUS99,,2100.0,premium
RES-00401,Card,1000,SAVE10,50.0,1050.0,standard
RES-00402,upi,₹2000/day,SAVE10,,2100.0,premium
RES-00403,cash,800,BOGUS99,40.0,840.0,standard
RES-00404,Card,3000,BOGUS99,150.0,3150.0,standard
RES-00405,cash,1500/day,DISC15,75.0,1575.0,premium
RES-00406,card,"₹ 2,000 /day",,100.0,2100.0,eco
RES-00407,wallet,1000/day,BOGUS99,50.0,1050.0,eco
RES-00408,UPI,₹1500/day,DISC15,75.0,1575.0,eco
RES-00409,wallet,3000,,150.0,3150.0,eco
RES-00410,cash,₹800/day,DISC15,,840.0,eco
RES-00411,Card,1500/day,SAVE10,75.0,1575.0,premium
RES-00412,UPI,3000/day,DISC15,,3150.0,eco
RES-00413,UPI,1200/day,DISC15,,1260.0,premium
RES-00414,Card,"₹ 2,000 /day",,,2100.0,standard
RES-00415,upi,2000/day,,100.0,2100.0,premium
RES-00416,upi,1200/day,BOGUS99,60.0,1260.0,premium
RES-00417,UPI,1500/day,SAVE10,75.0,1575.0,standard
RES-00418,Card,1500/day,DISC15,75.0,1575.0,premium
RES-00419,Card,2500,SAVE10,,2625.0,premium
RES-00420,wallet,"₹ 2,500 /day",BOGUS99,125.0,2625.0,eco
RES-00421,Card,2500,,125.0,2625.0,premium
RES-00422,cash,₹2000/day,DISC15,100.0,2100.0,eco
RES-00423,cash,1200/day,BOGUS99,,1260.0,standard
RES-00424,upi,2000,DISC15,100.0,2100.0,standard
RES-00425,cash,1000,BOGUS99,50.0,1050.0,standard
RES-00426,Card,1200,DISC15,60.0,1260.0,standard
RES-00427,upi,₹2500/day,SAVE10,125.0,2625.0,eco
RES-00428,UPI,₹2000/day,BOGUS99,,2100.0,premium
RES-00429,upi,1200/day,,60.0,1260.0,standard
RES-00430,cash,2000,DISC15,100.0,2100.0,premium
RES-00431,Card,3000,SAVE10,150.0,3150.0,eco
RES-00432,card,"₹ 1,000 /day",,50.0,1050.0,premium
RES-00433,UPI,"₹ 1,200 /day",,60.0,1260.0,standard
RES-00434,wallet,3000,SAVE10,,3150.0,standard
RES-00435,Card,₹1000/day,,,1050.0,eco
RES-00436,UPI,2500/day,,125.0,2625.0,eco
RES-00437,card,₹1000/day,BOGUS99,50.0,1050.0,eco
